First Step 2|Location is: Salvation Army Centre|4|08:00:00|09:00:00|51 Morrow, Winnipeg, ND 
First Step 2|Location is: Salvation Army Centre|5|08:00:00|09:00:00|51 Morrow, Winnipeg, ND 
First Step 2|Location is: Salvation Army Centre|6|08:00:00|09:00:00|51 Morrow, Winnipeg, ND 
First Step 7|Location is: Salvation Army Centre|7|09:30:00|10:30:00|51 Morrow, Winnipeg, ND 
First Step 7|Location is: Salvation Army Centre|1|09:30:00|10:30:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|2|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|3|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|4|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|5|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|6|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|7|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step|Location is: Salvation Army Centre|1|00:00:00|01:00:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|2|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|3|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|4|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|5|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|6|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
First Step 3|Location is: Salvation Army Centre|7|17:30:00|18:30:00|51 Morrow, Winnipeg, ND 
