DICKSON GROUP 2|Location is: DAFA House|5|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|5|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|6|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 2|Location is: DAFA House|6|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
SOLUTIONS GROUP|Location is: DAFA House|6|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|6|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|7|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|7|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 2|Location is: DAFA House|7|13:30:00|14:30:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP 3|Location is: DAFA House|1|null|N/A|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
DICKSON GROUP|Location is: DAFA House|1|13:00:00|14:00:00|110 S Main St, Dickson, AR 37055|34.9116708|-91.10661600000003
142 GROUP|Location is: Walnut Church of Christ|2|13:00:00|14:00:00|201 Center Avenue, Dickson, AR 37055|34.5852872|-94.2154774
142 GROUP|Location is: Walnut Church of Christ|4|13:00:00|14:00:00|201 Center Avenue, Dickson, AR 37055|34.5852872|-94.2154774
FRIEDENS UNITED CHURCH CHRIST|Location is: FRIEDENS UNITED CHURCH CHRIST|5|18:00:00|19:00:00|1703 HWY 94 S, ST CHARLES, AR 63303|34.3691057|-91.15714779999996
ST ROBERTS BELLARMINE CHURCH|Location is: ST ROBERTS BELLARMINE CHURCH|6|18:30:00|19:30:00|1424 S OLD HIGHWAY 94, ST CHARLES, AR 63303|34.3561928|-91.13699299999996
WELCOME HALL 4|Location is: WELCOME HALL|1|10:30:00|11:30:00|501 S 5TH ST, ST CHARLES, AR 63301|34.3756751|-91.13572820000002
Monday Night Newcomer&#39;s Big Book Study|Location is: WELCOME HALL|2|19:30:00|20:30:00|501 S 5TH ST, ST CHARLES, AR 63301|34.3756751|-91.13572820000002
WELCOME HALL 2|Location is: WELCOME HALL|3|10:00:00|11:00:00|501 S 5TH ST, ST CHARLES, AR 63301|34.3756751|-91.13572820000002
WELCOME HALL 3|Location is: WELCOME HALL|3|20:00:00|21:00:00|501 S 5TH ST, ST CHARLES, AR 63301|34.3756751|-91.13572820000002
WELCOME HALL 3|Location is: WELCOME HALL|6|20:00:00|21:00:00|501 S 5TH ST, ST CHARLES, AR 63301|34.3756751|-91.13572820000002
That Saint Charles Young Peoples Meeting|Location is: Welcome Hall|5|19:00:00|20:00:00|501 S 5th Street, St. Charles, AR 63301|34.3756751|-91.13572820000002
ST JOSEPHS HEALTH CENTER|Location is: ST JOSEPHS HEALTH CENTER|7|19:00:00|20:00:00|350 1ST CAPITOL, ST CHARLES, AR 63301|34.7559203|-92.41276970000001
BADEN FACILITY 6|Location is: BADEN FACILITY|1|11:00:00|12:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 7|Location is: BADEN FACILITY|1|16:00:00|17:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 4|Location is: BADEN FACILITY|1|20:00:00|21:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY|Location is: BADEN FACILITY|2|09:00:00|10:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 2|Location is: BADEN FACILITY|2|12:00:00|13:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 3|Location is: BADEN FACILITY|2|16:30:00|17:30:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 4|Location is: BADEN FACILITY|2|20:00:00|21:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY|Location is: BADEN FACILITY|3|09:00:00|10:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 2|Location is: BADEN FACILITY|3|12:00:00|13:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 3|Location is: BADEN FACILITY|3|16:30:00|17:30:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY|Location is: BADEN FACILITY|4|09:00:00|10:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 2|Location is: BADEN FACILITY|4|12:00:00|13:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 3|Location is: BADEN FACILITY|4|16:30:00|17:30:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY|Location is: BADEN FACILITY|5|09:00:00|10:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 2|Location is: BADEN FACILITY|5|12:00:00|13:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 3|Location is: BADEN FACILITY|5|16:30:00|17:30:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 4|Location is: BADEN FACILITY|5|20:00:00|21:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY|Location is: BADEN FACILITY|6|09:00:00|10:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 2|Location is: BADEN FACILITY|6|12:00:00|13:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 5|Location is: BADEN FACILITY|6|02:00:00|03:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 4|Location is: BADEN FACILITY|6|20:00:00|21:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 6|Location is: BADEN FACILITY|7|11:00:00|12:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 7|Location is: BADEN FACILITY|7|16:00:00|17:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 4|Location is: BADEN FACILITY|7|20:00:00|21:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
BADEN FACILITY 8|Location is: BADEN FACILITY|7|22:00:00|23:00:00|8334 N BROADWAY, ST LOUIS, AR 63147|34.7685249|-92.24600500000003
ST CHARLES PRESBYTERIAN CHURCH|Location is: ST CHARLES PRESBYTERIAN CHURCH|7|10:00:00|11:00:00|131 GAMBLE, ST CHARLES, AR 63301|34.7530342|-92.41808270000001
WOMEN|Location is: Club|5|19:30:00|20:30:00|928 5th St. N.w., Northwest, AR 63301|35.29147210000001|-91.36239409999996
BEGINNING MEETING|Location is: TRUMAN VA HOSPITAL|5|20:00:00|21:00:00|800 HOSPITAL DR, COLUMBIA, AR 65201|33.2748978|-93.2384189
SOUTHSIDE CENTER|Location is: UNIVERSITY HOSPITAL|1|19:00:00|20:00:00|1 HOSPITAL DRIVE, COLUMBIA, AR 65212|33.2748978|-93.2384189
NORTH MINSTER PRESBYTERIAN CHURCH|Location is: NORTH MINSTER PRESBYTERIAN CHURCH|1|18:00:00|19:00:00|1570 CHAMBERS ROAD, FERGUSON, AR 63136|35.0591363|-93.37808000000001
NORTH MINSTER PRESBYTERIAN CHURCH|Location is: NORTH MINSTER PRESBYTERIAN CHURCH|4|19:30:00|20:30:00|1570 CHAMBERS ROAD, FERGUSON, AR 63136|35.0591363|-93.37808000000001
OUT OF THE ASHES|Location is: PHOENIX HOUSE|2|20:00:00|21:00:00|607 S 5TH STREET, COLUMBIA, AR 65201|33.3432018|-93.20840899999996
OUT OF THE ASHES|Location is: PHOENIX HOUSE|6|20:00:00|21:00:00|607 S 5TH STREET, COLUMBIA, AR 65201|33.3432018|-93.20840899999996
CHOICES GROUP|Location is: HILLEL FOUNDATION|5|20:00:00|21:00:00|1107 UNIVERSITY AVE, COLUMBIA, AR 65201|33.2891215|-93.22564
Young People's Group|Location is: Columbia, MO|6|19:00:00|20:00:00|204 S 9th St, columbia, AR 65201|33.1278525|-93.2083007
Young People's Group|Location is: Columbia, MO|5|19:30:00|20:30:00|204 S 9th St, columbia, AR 65201|33.1278525|-93.2083007
A STEP FORWARD|Location is: STEPHENS VISITOR CENTER|1|09:00:00|10:00:00|1215 E BROADWAY, COLUMBIA, AR 65201|33.3450844|-93.20337569999998
Sunrise Sober @ Seven|Location is: First Christian Church|2|07:00:00|08:00:00|101 N. 10th St., columbia, AR 65201|33.1612814|-93.29892319999999
HAPPY HOUR|Location is: RUSSEL CHAPEL BASEMENT|7|19:30:00|20:30:00|108 E ASH, COLUMBIA, AR 65203|33.359181|-93.43177000000003
LAST CALL GROUP|Location is: RUSSEL CHAPEL BASEMENT|7|21:00:00|22:00:00|108 E ASH, COLUMBIA, AR 65203|33.359181|-93.43177000000003
BIG BOOK STUDY|Location is: UNITY CENTER|1|20:00:00|21:00:00|1600 W BROADWAY, COLUMBIA, AR 65203|33.3443211|-93.20734920000001
AS BILL SEES IT|Location is: UNITY CENTER|4|19:00:00|20:00:00|1600 W BROADWAY, COLUMBIA, AR 65203|33.3443211|-93.20734920000001
GRATITUDE GROUP|Location is: UNITY CENTER|7|11:00:00|12:00:00|1600 W BROADWAY, COLUMBIA, AR 65203|33.3443211|-93.20734920000001
KILGORE GROUP (THE HUT)|Location is: KILGORE GROUP (THE HUT)|2|20:00:00|21:00:00|HIGHWAY 135, KILGORE, AR 75662|36.3820056|-90.5199073
SERENITY GROUP|Location is: BROADWAY CHRISTIAN CHURCH|4|20:15:00|21:15:00|2601 W BROADWAY, COLUMBIA, AR 65203|36.4048796|-90.94290189999998
WESTSIDE GROUP|Location is: COMMUNITY UNITED METHODIST|2|20:00:00|21:00:00|3301 W BROADWAY, COLUMBIA, AR 65203|36.4023241|-90.95482849999996
SISTERS OF SOBRIETY|Location is: COMMUNITY UNITED METHODIST|3|18:30:00|19:30:00|3301 W BROADWAY, COLUMBIA, AR 65203|36.4023241|-90.95482849999996
SISTERS OF SOBRIETY|Location is: COMMUNITY UNITED METHODIST|5|18:30:00|19:30:00|3301 W BROADWAY, COLUMBIA, AR 65203|36.4023241|-90.95482849999996
WESTSIDE|Location is: COMMUNITY UNITED METHODIST|5|20:00:00|21:00:00|3301 W BROADWAY, COLUMBIA, AR 65203|36.4023241|-90.95482849999996
