Early Bird Group|Location is: Early Bird Group|7|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Early  Bird  Group|Location is: Early Bird Group|1|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Old Town Group|Location is: Early Bird Group|1|09:45:00|10:45:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Early Bird Group|Location is: Early Bird Group|5|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
"Strange as it Seems" Group|Location is: Early Bird Group|5|18:30:00|19:30:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Early Bird Group|Location is: Early Bird Group|3|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
"Strange as it Seems" Group|Location is: Early Bird Group|3|18:30:00|19:30:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Early Bird Group|Location is: Early Bird Group|4|08:00:00|09:00:00|901 E 3rd, WICHITA, TX 67202|34.0992561|-98.55853960000002
Erie Sunrise Group|Location is: Erie Sunrise Group|6|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Eleventh Step Group|Location is: Erie Sunrise Group|6|17:30:00|18:30:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Sunrise Group|Location is: Erie Sunrise Group|2|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Men's Group|Location is: Erie Sunrise Group|2|20:00:00|21:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Erie Sunrise Group|Location is: Erie Sunrise Group|7|08:00:00|09:00:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
Sat. Morning Woman's Group|Location is: Erie Sunrise Group|7|10:30:00|11:30:00|120 N Ash, WICHITA, TX 67214|33.9642829|-98.5077655
