Altrincham &#39;come & go&#39;|Location is: Unitarian Church|6|11:30:00|12:30:00|Sylvan Grove/Dunham Road, manchester, KS |39.0936111|-97.32138889999999
Topeka Group #1 2|Location is: Topeka Group #1|3|10:00:00|11:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 3|Location is: Topeka Group #1|3|16:30:00|17:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|3|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|3|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
S.O.S Group|Location is: Topeka Group #1|4|10:30:00|11:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1|Location is: Topeka Group #1|4|00:00:00|01:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 3|Location is: Topeka Group #1|4|16:30:00|17:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|4|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|4|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 2|Location is: Topeka Group #1|5|10:00:00|11:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1|Location is: Topeka Group #1|5|00:00:00|01:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 3|Location is: Topeka Group #1|5|16:30:00|17:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|5|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|5|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 2|Location is: Topeka Group #1|6|10:00:00|11:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1|Location is: Topeka Group #1|6|00:00:00|01:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 3|Location is: Topeka Group #1|6|16:30:00|17:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|6|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|6|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 6|Location is: Topeka Group #1|6|22:00:00|23:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 7|Location is: Topeka Group #1|7|07:30:00|08:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 8|Location is: Topeka Group #1|7|09:00:00|10:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 9|Location is: Topeka Group #1|7|11:00:00|12:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 10|Location is: Topeka Group #1|7|15:00:00|16:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|7|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|7|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 6|Location is: Topeka Group #1|7|22:00:00|23:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 7|Location is: Topeka Group #1|1|07:30:00|08:30:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 8|Location is: Topeka Group #1|1|09:00:00|10:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 9|Location is: Topeka Group #1|1|11:00:00|12:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 10|Location is: Topeka Group #1|1|15:00:00|16:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 4|Location is: Topeka Group #1|1|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Topeka Group #1 5|Location is: Topeka Group #1|1|20:00:00|21:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
&#34;6:00&#34;|Location is: Topeka Group #1|1|18:00:00|19:00:00|2100 Central Park, Topeka, KS 66611|39.0284996|-95.6897027
Kirkside House|Location is: Kirkside House|2|19:30:00|20:30:00|8 Church St., Westboro, KS |39.041648|-95.72076829999997
Friendly Noon Meeting|Location is: Grace United Methodist|2|00:00:00|01:00:00|27th & Western, Topeka, KS 66611|39.022436|-95.68760499999996
5:30 Happy Hour Group|Location is: Grace United Methodist|3|17:30:00|18:30:00|27th & Western, Topeka, KS 66611|39.022436|-95.68760499999996
Prime Time Group|Location is: Grace United Methodist|4|17:30:00|18:30:00|27th & Western, Topeka, KS 66611|39.022436|-95.68760499999996
Casa Lunch Meeting|Location is: Casa Lunch Meeting|5|00:00:00|01:00:00|3320 SW Topeka Blvd, Topeka, KS 66611|39.00616|-95.686509
Sat. Morning Women_s Group|Location is: Grace Episcopal|7|09:00:00|10:00:00|701 SW 8th Ave., Topeka, KS 66612|39.050846|-95.68424900000002
Weed Puller_s|Location is: Weed Puller_s|2|07:00:00|08:00:00|7th St. Bistro, Topeka, KS |39.0558235|-95.68901849999997
Paxico AA Group|Location is: Methodist Church|2|19:30:00|20:30:00|1-582-4546 1-765-2313, Topeka, KS |39.0558235|-95.68901849999997
Topeka Home Group|Location is: Topeka Home Group|3|19:30:00|20:30:00|Call for locate: 862-1938, Topeka, KS |39.0558235|-95.68901849999997
Meeting at _Michelle_s_|Location is: Meeting at _Michelle_s_|4|00:00:00|01:00:00|Holidome 6th & Fairlawn, Topeka, KS |39.0558235|-95.68901849999997
Veteran_s Group|Location is: VA Hospital|4|18:00:00|19:00:00|VA Hospital Bldg.#2, Topeka, KS |39.0274306|-95.72480159999998
Forbes Group|Location is: Potwin Church|4|20:00:00|21:00:00|4th & Washburn, Topeka, KS |39.0558235|-95.68901849999997
Bill W. Early Bird|Location is: St. Francis Hospital|5|07:00:00|08:00:00|Mtg.Rm #6, Topeka, KS |39.0558235|-95.68901849999997
Veteran_s Group|Location is: VA Hospital|5|18:00:00|19:00:00|VA Hospital Bldg.#2, Topeka, KS |39.0274306|-95.72480159999998
Big Book Step Group|Location is: Big Book Step Group|5|19:30:00|20:30:00|Call for location: 478-4964, Topeka, KS |39.0558235|-95.68901849999997
Weed Puller_s|Location is: Weed Puller_s|6|07:00:00|08:00:00|7th St. Bistro, Topeka, KS |39.0558235|-95.68901849999997
Meeting at _Michelle_s_|Location is: Meeting at _Michelle_s_|6|00:00:00|01:00:00|Holidome 6th & Fairlawn, Topeka, KS |39.0558235|-95.68901849999997
Maple Hill Group|Location is: Maple Hill Group|6|20:30:00|21:30:00|Call for locate: 272-0343, Topeka, KS |39.0558235|-95.68901849999997
Veteran_s Group|Location is: VA Hospital|7|14:00:00|15:00:00|VA Hospital Bldg.#2, Topeka, KS |39.0274306|-95.72480159999998
We_re No Saints Group|Location is: St. Francis Hospital|1|19:00:00|20:00:00|St. Francis Hospital 2nd flr. Mtg. Rm. #4, Topeka, KS |39.0558235|-95.68901849999997
Primary Purpose Group|Location is: Assumption Church|4|00:00:00|01:00:00|204 W 8th, Topeka, KS 66603|39.049862|-95.676173
Primary Purpose Group Big Book Study|Location is: Assumption Church|6|00:00:00|01:00:00|204 W 8th, Topeka, KS 66603|39.049862|-95.676173
Carbondale AA Group|Location is: ELM&#39;s Community Center|2|19:30:00|20:30:00|228 Main St, Carbondale, KS 66414|38.818984|-95.69112310000003
St. Marys Group|Location is: St. Marys Group|5|19:30:00|20:30:00|107 N 7th, Topeka, KS 66603|39.0502732|-95.67401430000001
As Bill Sees It Group|Location is: North Topeka Wesleyan Church|4|19:00:00|20:00:00|1201 NW Central Ave., Topeka, KS 66608|39.07265|-95.66632399999997
Ebony AA Group|Location is: Ebony AA Group|4|20:00:00|21:00:00|1100 SE Washington, Topeka, KS 66607|39.0418295|-95.6654737
Stepping Stones|Location is: Stepping Stones|6|19:00:00|20:00:00|2010 N Logan, Topeka, KS 66608|39.086661|-95.66089499999998
Memorial Saturday Night Group|Location is: Methodist Church|7|20:00:00|21:00:00|29th & Michigan, Topeka, KS 66605|39.0151718|-95.65867850000001
The Fireside Group|Location is: Antlers, Enter on South Side|7|19:30:00|20:30:00|2501 South Street, Lincoln, KS |39.0373701|-98.1400964
O-At-Ka|Location is: St Mark_s Episcopal Church|1|20:30:00|21:30:00|Main St., Leroy, KS |38.0875282|-95.6337019
Nuts & Bolts|Location is: West Side Presbyterian Church|1|18:00:00|19:00:00|1046 Kasold Dr, Lawrence, KS 66049|38.9670949|-95.2811175
Freedom|Location is: West Side Presbyterian Church|2|12:00:00|13:00:00|1024 Kasold Drive, lawrence, KS 66049|38.96610099999999|-95.279696
The Incognito Group  (TIG)|Location is: First Christian Church|3|19:00:00|20:00:00|E 8th St & Arcade Ave, Goodland, KS 67735|39.3512388|-101.70224680000001
The Incognito Group  (TIG)|Location is: First Christian Church|6|19:00:00|20:00:00|E 8th St & Arcade Ave, Goodland, KS 67735|39.3512388|-101.70224680000001
Goodland AA|Location is: 1113 Center Street|7|20:08:00|21:08:00|1113 Center Street, goodland, KS 67735|39.3478448|-101.71311679999997
Goodland AA|Location is: 1113 Center Street|4|13:08:00|14:08:00|1113 Center Street, goodland, KS 67735|39.3478448|-101.71311679999997
Jayhawk Retreat|Location is: First United Methodist Church|2|19:00:00|20:00:00|946 Vermont, lawrence, KS 66044|38.9660264|-95.23683729999999
2nd. Chance|Location is: Wesleyan Church|2|19:00:00|20:00:00|309 W. 2nd St., sharon springs, KS 67758|38.8960966|-101.7543255
A.A. Straight Up|Location is: First Christian Church Corner of insley and nettleton|3|19:00:00|20:00:00|146 n. nettleton ave., bonner springs, KS 66012|39.0596283|-94.88445489999998
ONE DAY AT A TIME, SPRINGHILL|Location is: 5286 Main Street|7|13:30:00|14:30:00|Spring Hill Methodist Church, Springhill, KS |38.74400000000001|-94.82429990000003
SPRING HILL BIG BOOK STUDY|Location is: Spring Hill Presbyterian Church|4|13:00:00|14:00:00|5344 Main St., Spring Hill, KS 66083|38.7684954|-94.81637899999998
SPRING HILL THURSDAY NIGHT SPEAKER MEETING|Location is: Church of Christ|5|13:00:00|14:00:00|5306 Main St., Spring Hill, KS 66083|38.7684963|-94.81637899999998
National Grid|Location is: National Grid|1|11:00:00|12:00:00|25 Research Dr., Westboro, KS |39.041648|-95.72076829999997
Sobriety First|Location is: 117 Chester #4|6|20:00:00|21:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|2|18:00:00|19:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|3|18:00:00|19:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|4|18:00:00|19:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|5|18:00:00|19:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|7|18:00:00|19:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
Sobriety First|Location is: 117 Chester #4|1|19:00:00|20:00:00|117 Chester #4, Olathe, KS 66061|38.8825999|-94.79432700000001
JCCC AA|Location is: Room RC185 (see Map)|6|12:00:00|13:00:00|1477 East 151st Street, Olathe, KS  , Olathe, KS |38.8546256|-94.79380989999999
Warrenton|Location is: Public Library|2|20:00:00|21:00:00|, ,   USA, KS |39.011902|-98.48424649999998
Unnamed Meeting|Location is: Public Library|5|20:00:00|21:00:00|, ,   USA, KS |39.011902|-98.48424649999998
second chance|Location is: parsons|5|20:00:00|21:00:00|31st and morton, parsons, KS 67357|37.333464|-95.28309290000004
Bourban night group|Location is: Fort Scott|6|20:00:00|21:00:00|S Little St, Fort Scott, KS 66701|37.8326807|-94.69588970000001
HARTSGROVE OPEN HEARTS|Location is: Hartsgrove Community Church, on Circle|3|19:30:00|20:30:00|5660 Rt. 6 @ Rt 534, Ashtabula, KS |39.011902|-98.48424649999998
Lake Como Group|Location is: Lake Como Group|6|18:00:00|19:00:00|Community Center, Jacksonville, KS |39.011902|-98.48424649999998
Lincoln 12 and 12|Location is: Senior Center|4|19:30:00|20:30:00|Jenks Hill Rd, Jenks, KS |39.011902|-98.48424649999998
Pisgah Group|Location is: First Presbyterian Church|5|08:00:00|09:00:00|40 Church Street - Enter in Alley, Asheville, KS |39.011902|-98.48424649999998
SMITH COUNTY FRIENDSHIP GROUP|Location is: 215 MAIN STREET SOUTH|4|13:00:00|14:00:00|SMITH COUNTY LIBRARY, CARTHAGE, KS |39.011902|-98.48424649999998
SMITH COUNTY FRIENDSHIP GROUP|Location is: 215 MAIN STREET SOUTH|1|13:00:00|14:00:00|SMITH COUNTY LIBRARY, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP 5|Location is: SERENITY HOUSE|1|11:00:00|12:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP 2|Location is: SERENITY HOUSE|4|12:00:00|13:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP|Location is: SERENITY HOUSE|3|18:00:00|19:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP|Location is: SERENITY HOUSE|6|18:00:00|19:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP|Location is: SERENITY HOUSE|7|18:00:00|19:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP 3|Location is: SERENITY HOUSE|4|18:30:00|19:30:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
CARTHAGE GROUP 4|Location is: SERENITY HOUSE|5|19:00:00|20:00:00|300 SERENITY STREET, CARTHAGE, KS |39.011902|-98.48424649999998
Happy Hour Group|Location is: Behind Lakeland Shopping Center|2|17:00:00|18:00:00|N. K, muskogee, KS |39.011902|-98.48424649999998
There's a Solution|Location is: There's a Solution|4|14:00:00|15:00:00|397 S, Perry Park Rd. (Ch), Sedalia, KS |39.011902|-98.48424649999998
Bella Vista Group|Location is: Bella Vista Group|3|19:00:00|20:00:00|75 E, Lancashire (HWY 340E), Bella Vista, KS |39.011902|-98.48424649999998
Bella Vista Group 2|Location is: Bella Vista Group|3|20:00:00|21:00:00|75 E, Lancashire (HWY 340E), Bella Vista, KS |39.011902|-98.48424649999998
Bella Vista Group 3|Location is: Bella Vista Group|6|12:00:00|13:00:00|75 E, Lancashire (HWY 340E), Bella Vista, KS |39.011902|-98.48424649999998
Bella Vista Group|Location is: Bella Vista Group|6|19:00:00|20:00:00|75 E, Lancashire (HWY 340E), Bella Vista, KS |39.011902|-98.48424649999998
Lawton Original Group (LOG)|Location is: 1204 F Avenue|1|06:00:00|07:00:00|Lawton, OK, lawton, KS |37.2220816|-94.6436443
TRYING TO ARRIVE|Location is: 4510 Beard's Chapel Road|2|null|N/A|Beard's Chapel Baptist Church, Springfield, KS |39.011902|-98.48424649999998
TRYING TO ARRIVE|Location is: 4510 Beard's Chapel Road|3|null|N/A|Beard's Chapel Baptist Church, Springfield, KS |39.011902|-98.48424649999998
TRYING TO ARRIVE|Location is: 4510 Beard's Chapel Road|4|null|N/A|Beard's Chapel Baptist Church, Springfield, KS |39.011902|-98.48424649999998
TRYING TO ARRIVE|Location is: 4510 Beard's Chapel Road|5|null|N/A|Beard's Chapel Baptist Church, Springfield, KS |39.011902|-98.48424649999998
TRYING TO ARRIVE|Location is: 4510 Beard's Chapel Road|6|null|N/A|Beard's Chapel Baptist Church, Springfield, KS |39.011902|-98.48424649999998
WEST DM GROUP|Location is: ST MARK LUTHERAN CHURCH|3|20:00:00|21:00:00|12TH AND GRAND, DES MOINES, KS |39.011902|-98.48424649999998
CHAPTER 12|Location is: ST MARK LUTHERAN CHURCH|6|19:00:00|20:00:00|12TH AND GRAND, DES MOINES, KS |39.011902|-98.48424649999998
24 Hour Group|Location is: 24 Hour Group|3|19:00:00|20:00:00|V.A. Medical Center Room 25A & Auditorium, Fayetteville, KS |39.011902|-98.48424649999998
24 Hour Group|Location is: 24 Hour Group|5|19:00:00|20:00:00|V.A. Medical Center Room 25A & Auditorium, Fayetteville, KS |39.011902|-98.48424649999998
24 Hour Group|Location is: 24 Hour Group|1|19:00:00|20:00:00|V.A. Medical Center Room 25A & Auditorium, Fayetteville, KS |39.011902|-98.48424649999998
MONDAY NOONERS|Location is: ST JOHNS LUTHERAN CHURCH|2|12:00:00|13:00:00|6TH AND KEO, DES MOINES, KS |39.011902|-98.48424649999998
STEP GROUP|Location is: ST LUKES EPISCOPAL CHURCH|4|20:00:00|21:00:00|3424 FORST, DES MOINES, KS |39.011902|-98.48424649999998
MAINTENANCE MEETING|Location is: GATCHEL METHODIST CHURCH|7|19:30:00|20:30:00|1909 MLK PARKWAY, DES MOINES, KS |39.011902|-98.48424649999998
Third Tradition Group|Location is: 1st Presbyterian Church|6|20:00:00|21:00:00|Hwy. 62 East, Yellville, KS |39.011902|-98.48424649999998
Recovery AA Group|Location is: Our Savior's Lutheran Church|2|17:30:00|18:30:00|33rd St. & Summit Ave., , South Dakota  USA, KS |39.011902|-98.48424649999998
Rip Cord Group|Location is: Trinity Church|1|18:30:00|19:30:00|Hey 64, muldrow, KS |39.011902|-98.48424649999998
Rip Cord Group|Location is: Trinity Church|3|18:30:00|19:30:00|Hey 64, muldrow, KS |39.011902|-98.48424649999998
Rip Cord Group|Location is: Trinity Church|5|18:30:00|19:30:00|Hey 64, muldrow, KS |39.011902|-98.48424649999998
ASHLAND MIDTOWN GROUP|Location is: ASHLAND CHRISTIAN CHURCH|3|20:00:00|21:00:00|ROUTE M AND DD, ASHLAND, KS |37.1886376|-99.7656834
AA Group|Location is: VFW Bldg|4|20:00:00|21:00:00|behind bank, Parker, KS |38.3283548|-94.99191229999997
Buckeye Easy Does it|Location is: South East Aurora Club|2|17:45:00|18:45:00|Iliff , aurora, KS |39.4521046|-97.5324597
AA Group|Location is: Community Library|4|20:00:00|21:00:00|201 W. Main, 1 blk. E of Hwy 75, Luverne, KS |39.011902|-98.48424649999998
AA Group|Location is: Community Library|7|20:00:00|21:00:00|201 W. Main, 1 blk. E of Hwy 75, Luverne, KS |39.011902|-98.48424649999998
Women in Sobriety|Location is: Women in Sobriety|3|19:00:00|20:00:00|1200 South St (Ch bsmt #102), Castle Rock, KS |37.4410787|-97.00668480000002
Men&#39;s Meeting|Location is: Women in Sobriety|3|19:00:00|20:00:00|1200 South St (Ch bsmt #102), Castle Rock, KS |37.4410787|-97.00668480000002
Round Tuit|Location is: Round Tuit|5|14:00:00|15:00:00|615 4th St. (Church library), Castle Rock, KS |37.4410787|-97.00668480000002
Basic Text|Location is: Basic Text|6|14:00:00|15:00:00|2100 W. Meadows Pkwy (Ch rm2), Castle Rock, KS |37.4410787|-97.00668480000002
Theres a Solution|Location is: Theres a Solution|4|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|4|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|3|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|3|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|5|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|5|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|1|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|1|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|7|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|7|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|2|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|2|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Theres a Solution|Location is: Theres a Solution|6|null|N/A|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Noon Workshop|Location is: Theres a Solution|6|14:00:00|15:00:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
DTC Sobriety|Location is: Theres a Solution|4|14:45:00|15:45:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
DTC Sobriety|Location is: Theres a Solution|3|14:45:00|15:45:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
DTC Sobriety|Location is: Theres a Solution|5|14:45:00|15:45:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
DTC Sobriety|Location is: Theres a Solution|2|14:45:00|15:45:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
DTC Sobriety|Location is: Theres a Solution|6|14:45:00|15:45:00|8081 E. Orchard Rd. (Entr 5 S door), Greenwood Village, KS |39.011902|-98.48424649999998
Giving It Back|Location is: 8007 South Broaadway|1|19:30:00|20:30:00|Highlands Ranch, denver, KS |39.011902|-98.48424649999998
Quincy 2|Location is: Quincy 2|4|14:30:00|15:30:00|6190 E. Quincy Ave (Ch library), Cherry Hills Village, KS |39.011902|-98.48424649999998
Saturday Night South|Location is: Saturday Night South|7|14:00:00|15:00:00|2290 S. Clayton (Church bsmt.), Denver, KS |39.011902|-98.48424649999998
Saturday Step|Location is: Saturday Step|7|null|N/A|7275 S. Broadway (Ch bsmt), Littleton, KS |39.011902|-98.48424649999998
Sober Sisters|Location is: Sober Sisters|1|14:00:00|15:00:00|3600 S. Clarkson (NE of Church) 781-5822, Englewood, KS |37.0383622|-99.98346879999997
Day By Day 3|Location is: Day By Day|7|null|N/A|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Hope is Here|Location is: Hope is Here|3|14:00:00|15:00:00|3601 S. Sherman St. (Bookstore mtg rm), Englewood, KS |37.0383622|-99.98346879999997
God Power|Location is: God Power|7|null|N/A|3601 S. Sherman (bookstore mtg rm), Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|4|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Day By Day|Location is: Day By Day|6|14:00:00|15:00:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|7|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Happy Way 2|Location is: Happy Way|1|null|N/A|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way 2|Location is: Happy Way|7|null|N/A|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|7|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|2|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|6|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
E. Hampden Women Mon|Location is: E. Hampden Women Mon|2|14:00:00|15:00:00|3800 E Hampden (Ch) 90mins, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|3|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|5|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Happy Way|Location is: Happy Way|1|14:00:00|15:00:00|3333 S. Bannock St. #240 (Bank bldg) 781-1933, Englewood, KS |37.0383622|-99.98346879999997
Day By Day 3|Location is: Day By Day|1|null|N/A|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|4|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day|Location is: Day By Day|5|14:00:00|15:00:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day|Location is: Day By Day|2|14:00:00|15:00:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|3|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|5|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|1|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|2|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 2|Location is: Day By Day|6|14:30:00|15:30:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 3|Location is: Day By Day|4|null|N/A|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day|Location is: Day By Day|4|14:00:00|15:00:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 3|Location is: Day By Day|3|null|N/A|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day|Location is: Day By Day|3|14:00:00|15:00:00|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
Day By Day 3|Location is: Day By Day|5|null|N/A|3419 So. Lincoln St (Storefront), Englewood, KS |37.0383622|-99.98346879999997
